sec_code,sec_name,chunk_n,text_sum,summary_sum,floor_applied_n,relevant_score_mean,lnN_tech,Redundancy
688088,虹软科技,16,61725.0,1950.0,3,2.3709704310146873,11.03044431421338,31.653846153846153
688098,申联生物,13,52823.0,1699.0,3,2.0165916899477696,10.874701980906183,31.09064155385521
688099,晶晨股份,9,37830.0,1201.0,1,1.7812832552334714,10.540857717627075,31.498751040799334
688101,三达膜,19,73296.0,2415.0,4,1.7468692462456419,11.202261316126524,30.35031055900621
688105,诺唯赞,17,66099.0,1994.0,6,2.1279583344045196,11.098908897132299,33.14894684052157
688108,赛诺医疗,21,80927.0,2867.0,3,2.0963006061825187,11.301302792730635,28.227066620160446
688111,金山办公,22,85327.0,2800.0,8,2.5241354075684934,11.354246213289242,30.473928571428573
688116,天奈科技,14,53625.0,1767.0,1,2.2108235850171334,10.889770656230318,30.34804753820034
688118,普元信息,15,59073.0,2139.0,1,2.412158546352095,10.98652924621328,27.61711079943899
688122,西部超导,16,63240.0,2356.0,2,2.0999652142816507,11.05469229132341,26.842105263157894
688123,聚辰股份,18,72690.0,2811.0,3,1.9987182328709616,11.193959102478681,25.85912486659552
688128,中国电器,33,129845.0,4640.0,5,1.974762981157741,11.774096710381096,27.98383620689655
688133,泰坦科技,13,51860.0,1697.0,5,1.9072076740083928,10.856303059092655,30.559811431938716
688138,清溢光电,13,50045.0,1621.0,3,2.205074821491872,10.82067787965312,30.872917951881554
688139,海尔生物,12,46766.0,1539.0,2,1.7822990007070494,10.752911722153339,30.387264457439898
688150,莱特光电,16,62027.0,1953.0,4,2.2111177544933307,11.035325053102616,31.759856630824373
688157,松井股份,18,69661.0,2297.0,2,2.0573033753040426,11.151395899257666,30.326948193295603
688159,有方科技,23,90277.0,2987.0,1,2.299769807634827,11.410638000428083,30.223300970873787
688168,安博通,11,41616.0,1467.0,4,1.808515115197143,10.636239987688432,28.368098159509202
688172,燕东微,13,50643.0,1965.0,1,1.9962559248070129,10.832556296769498,25.772519083969467
688188,柏楚电子,18,69869.0,2145.0,5,1.6425235498931872,11.154377339149814,32.572960372960374
688196,卓越新能,24,95907.0,2990.0,5,1.8969530185076942,11.471134250908422,32.07591973244147
688199,久日新材,23,88867.0,2878.0,7,1.8702262637001632,11.394896148989336,30.878040305767893
688202,美迪西,14,57088.0,2042.0,2,1.7815940549933782,10.952349215939682,27.95690499510284
688206,概伦电子,8,33548.0,1189.0,0,1.8684972389957095,10.420732528104303,28.215306980656013
688216,气派科技,19,72672.0,2409.0,5,2.2614322073575046,11.193711444905285,30.166874221668742
688218,江苏北人,17,65846.0,2168.0,3,2.12100670246215,11.095073961211014,30.371771217712176
688221,前沿生物,19,76846.0,2585.0,3,1.5459069423627998,11.249558698165147,29.727659574468085
688234,天岳先进,9,34804.0,1100.0,0,2.0456697126051964,10.457487601685916,31.64
688283,坤恒顺维,13,50746.0,1864.0,2,2.245004506961463,10.834588076063763,27.224248927038627
688288,鸿泉物联,19,75718.0,2434.0,2,2.0068230283891793,11.234771191873529,31.108463434675432
688293,奥浦迈,11,42857.0,1343.0,3,1.7423889276343594,10.665624271244136,31.911392405063292
688299,长阳科技,17,67914.0,2273.0,5,2.180477989210055,11.125997477860475,29.878574571051473
688300,联瑞新材,23,89199.0,2919.0,4,2.096894587789302,11.398625107742928,30.558067831449126
688301,奕瑞科技,12,45330.0,1508.0,4,2.1936179915514593,10.721724343934895,30.05968169761273
688310,迈得医疗,11,41283.0,1249.0,2,2.2895356201285555,10.628206071933391,33.05284227381905
688311,盟升电子,16,63238.0,2252.0,3,2.184766249707337,11.054660665269862,28.08081705150977
688313,仕佳光子,16,62999.0,2198.0,3,2.298276956391876,11.050874132231819,28.66196542311192
688321,微芯生物,19,74712.0,2324.0,4,1.8055966219060446,11.221396000789554,32.14802065404475
688333,铂力特,24,93830.0,2976.0,5,2.2030849557747976,11.449239913284096,31.528897849462364
688336,三生国健,35,138081.0,4293.0,8,1.7701669079741276,11.835595748469478,32.16422082459818
688343,云天励飞,25,96271.0,3204.0,11,2.468895510600814,11.474922410170022,30.04712858926342
688349,三一重能,34,129834.0,4108.0,18,2.3924600816717905,11.774011990399837,31.60516066212269
688363,华熙生物,23,92253.0,3089.0,5,2.0429412212897486,11.432290081699202,29.865004855940434
688366,昊海生科,28,108331.0,3420.0,9,1.982493343776466,11.59294663395027,31.675730994152048
688369,致远互联,14,54337.0,1743.0,3,1.8359991385628531,10.90296067350638,31.174411933448077
688375,国博电子,12,46574.0,1522.0,1,1.8248860187588403,10.748797724493182,30.60052562417871
688376,美埃科技,2,6622.0,265.0,0,1.8013440860215053,8.798152718107191,24.98867924528302
688388,嘉元科技,18,71419.0,2248.0,6,2.1328524255655594,11.176319219370214,31.770017793594306
688389,普门科技,17,67824.0,2398.0,3,2.1411810324721614,11.124671393592418,28.283569641367805
688392,骄成超声,14,56665.0,2215.0,1,2.115189138154855,10.944912015167048,25.5823927765237
688433,华曙高科,12,45357.0,1396.0,2,2.1980742960376127,10.72231979864831,32.490687679083095
688450,光格科技,2,8987.0,402.0,0,1.9422268907563027,9.103534367658373,22.355721393034827
688469,中芯集成,10,40753.0,1319.0,4,2.1544026284348865,10.615284735591118,30.896891584533737
688472,阿特斯,14,53999.0,1853.0,4,1.6402099728780402,10.896720806856424,29.141392336751213
688486,龙迅股份,17,65780.0,2466.0,7,2.4493572173837825,11.094071119743049,26.67477696674777
688548,广钢气体,9,34192.0,1280.0,0,1.9701363998407007,10.43974697755893,26.7125
688595,芯海科技,15,57948.0,2486.0,4,2.838339429028059,10.967301335661542,23.309734513274336
688621,阳光诺和,13,51664.0,1699.0,1,1.6300738450880767,10.852516492998056,30.40847557386698
688667,菱电电控,16,61271.0,2028.0,2,2.0559191237220573,11.02306192678775,30.212524654832347
688678,福立旺,5,21320.0,794.0,0,2.0907001216909054,9.967400878279781,26.851385390428213
688685,迈信林,11,44855.0,1398.0,5,2.008790203568577,10.711190343993383,32.085121602288986
688693,锴威特,13,50351.0,1854.0,0,1.9093254473217252,10.82677375892267,27.158036677454152
688719,爱科赛博,15,61177.0,2020.0,2,1.9295327334575738,11.021526580870049,30.285643564356434
688720,艾森股份,13,50266.0,1583.0,3,1.9496322099920116,10.825084183200465,31.753632343651294
688786,悦安新材,14,56794.0,1859.0,4,1.8255790777638337,10.947185965326783,30.55083378160301
688799,华纳药厂,30,118409.0,3968.0,6,1.8627517415761343,11.681900012056674,29.840977822580644
